Customer ID,Recency,Frequency,Monetary,Tenure,Target_6M_Spend
12346.0,133,12,77556.46,533,0.0
12347.0,54,4,3146.75,212,2261.75
12348.0,56,4,1709.3999999999999,246,310.0
12349.0,215,3,2671.14,397,1757.55
12350.0,118,1,334.4,118,0.0
12351.0,183,1,300.93,183,0.0
12352.0,70,7,1905.6100000000001,200,944.23
12353.0,12,2,406.76,216,0.0
12354.0,40,1,1079.4,40,0.0
12355.0,22,2,947.61,375,0.0
12356.0,53,5,6315.33,232,58.349999999999994
12357.0,196,2,12079.99,196,6207.67
12358.0,183,3,2719.01,539,484.86
12359.0,113,8,4949.77,542,3986.17
12360.0,8,6,2674.41,463,1578.48
12361.0,95,4,511.25,490,0.0
12362.0,33,3,1104.34,546,3722.85
12363.0,50,1,299.1,50,252.9
12365.0,99,2,641.38,99,0.0
12366.0,441,1,500.24,441,0.0
12368.0,436,1,917.7,436,0.0
12369.0,221,3,1791.15,449,0.0
12370.0,82,6,3581.03,476,739.28
12371.0,217,3,2179.42,453,1887.96
12372.0,20,2,914.9200000000001,104,383.12
12373.0,119,3,1127.65,481,0.0
12374.0,229,3,2246.29,396,742.9300000000001
12376.0,197,2,503.15,225,0.0
12377.0,123,4,3426.32,397,0.0
12378.0,370,1,1407.7,370,4008.62
12379.0,230,2,767.98,342,852.24
12380.0,273,7,6951.49,470,2724.81
12383.0,46,4,1751.11,160,99.45
12385.0,187,1,1938.4,187,0.0
12386.0,145,2,660.8,174,0.0
12387.0,223,1,143.94,223,0.0
12388.0,83,5,1886.7,390,2014.41
12389.0,210,3,1433.33,463,0.0
12391.0,272,5,2312.53,470,460.89
12392.0,399,1,234.75000000000003,399,0.0
12393.0,53,5,1877.95,236,521.5
12394.0,25,1,381.08,25,891.4000000000001
12395.0,19,9,3618.36,410,1448.91
12396.0,482,1,931.43,482,0.0
12399.0,21,5,1622.6,452,339.7
12400.0,222,1,205.25,222,0.0
12401.0,111,1,84.3,111,0.0
12402.0,131,6,1256.9,478,0.0
12403.0,329,1,591.6600000000001,329,427.7
12404.0,490,1,63.24,490,0.0
12406.0,207,3,2975.06,505,3415.3
12407.0,43,2,495.96,72,1212.16
12408.0,68,5,2289.81,306,2050.96
12409.0,228,4,12346.62,373,11072.67
12410.0,116,3,1013.71,310,0.0
12411.0,217,1,346.9,217,0.0
12412.0,210,3,1370.05,347,1226.88
12413.0,44,3,805.25,210,194.20000000000002
12414.0,25,6,952.41,271,0.0
12415.0,11,14,70427.74,335,74030.63
12416.0,464,1,202.56,464,0.0
12417.0,33,15,4628.89,541,1818.29
12418.0,221,3,1352.62,438,668.58
12419.0,193,2,503.01,221,0.0
12421.0,127,3,449.01,313,649.59
12422.0,132,15,4666.74,529,565.0600000000001
12423.0,8,7,2129.85,273,283.9
12424.0,230,2,1579.07,356,1760.96
12425.0,256,1,964.21,256,777.2
12426.0,2,2,1345.21,470,0.0
12427.0,179,1,607.0,179,522.3
12428.0,50,6,6310.54,91,1645.92
12429.0,35,6,5454.99,354,2030.92
12431.0,8,19,7529.05,501,3328.92
12433.0,174,5,10992.51,284,6950.06
12434.0,68,2,583.54,189,519.89
12435.0,75,5,10075.03,545,3850.9000000000005
12437.0,6,29,9707.08,545,2810.42
12439.0,490,2,1158.18,533,0.0
12440.0,270,2,859.2,525,0.0
12441.0,174,1,347.1,174,0.0
12443.0,540,1,485.31,540,0.0
12445.0,228,1,301.58000000000004,228,133.4
12447.0,51,1,476.49,51,0.0
12449.0,218,2,768.6,246,4067.29
12450.0,207,3,490.32,282,197.88
12451.0,26,5,8942.18,337,3727.7
12454.0,203,4,13151.44,229,3528.34
12455.0,103,6,5111.99,529,767.96
12456.0,62,1,940.17,62,2240.87
12457.0,41,4,1699.93,243,1295.98
12458.0,92,3,1272.01,295,505.48
12459.0,413,1,454.36,413,0.0
12460.0,264,1,326.65,264,0.0
12462.0,111,1,762.11,111,427.48
12463.0,14,2,647.95,49,696.83
12464.0,8,4,544.85,117,667.2
12466.0,490,1,56.73,490,0.0
12467.0,231,1,132.8,231,0.0
12468.0,124,4,3161.79,490,508.95000000000005
12469.0,330,2,3070.54,344,0.0
12470.0,497,1,211.95,497,0.0
12471.0,18,62,28537.06,540,9188.22
12472.0,75,15,14357.32,533,3523.27
12474.0,8,21,7767.79,474,4656.66
12475.0,217,1,426.26,217,723.38
12476.0,26,17,9744.09,309,4371.32
12477.0,47,5,11633.6,431,8642.77
12480.0,75,5,3770.4900000000002,315,1694.36
